year,country,gdp_per_capita,healthy_life_expectancy,freedom,generosity,corruption,happiness_score
2015,Switzerland,1.39651,0.94143,0.66557,0.29678,0.41978,7.587
2015,Iceland,1.30232,0.94784,0.62877,0.4363,0.14145,7.561
2015,Denmark,1.32548,0.87464,0.64938,0.34139,0.48357,7.527
2015,Norway,1.459,0.88521,0.66973,0.34699,0.36503,7.522
2015,Canada,1.32629,0.90563,0.63297,0.45811,0.32957,7.427
2015,Finland,1.29025,0.88911,0.64169,0.23351,0.41372,7.406
2015,Netherlands,1.32944,0.89284,0.61576,0.4761,0.31814,7.378
2015,Sweden,1.33171,0.91087,0.6598,0.36262,0.43844,7.364
2015,New Zealand,1.25018,0.90837,0.63938,0.47501,0.42922,7.286
2015,Australia,1.33358,0.93156,0.65124,0.43562,0.35637,7.284
2015,Israel,1.22857,0.91387,0.41319,0.33172,0.07785,7.278
2015,Costa Rica,0.95578,0.86027,0.63376,0.25497,0.10583,7.226
2015,Austria,1.33723,0.89042,0.62433,0.33088,0.18676,7.2
2015,Mexico,1.02054,0.81444,0.48181,0.14074,0.21312,7.187
2015,United States,1.39451,0.86179,0.54604,0.40105,0.1589,7.119
2015,Brazil,0.98124,0.69702,0.49049,0.14574,0.17521,6.983
2015,Luxembourg,1.56391,0.91894,0.61583,0.28034,0.37798,6.946
2015,Ireland,1.33596,0.89533,0.61777,0.45901,0.28703,6.94
2015,Belgium,1.30782,0.89667,0.5845,0.2225,0.2254,6.937
2015,United Arab Emirates,1.42727,0.80925,0.64157,0.26428,0.38583,6.901
2015,United Kingdom,1.26637,0.90943,0.59625,0.51912,0.32067,6.867
2015,Oman,1.36011,0.76276,0.63274,0.21542,0.32524,6.853
2015,Venezuela,1.04424,0.72052,0.42908,0.05841,0.11069,6.81
2015,Singapore,1.52186,1.02525,0.54252,0.31105,0.4921,6.798
2015,Panama,1.06353,0.79661,0.5421,0.24434,0.0927,6.786
2015,Germany,1.32792,0.89186,0.61477,0.28214,0.21843,6.75
2015,Chile,1.10715,0.85857,0.44132,0.33363,0.12869,6.67
2015,Qatar,1.69042,0.79733,0.6404,0.32573,0.52208,6.611
2015,France,1.27778,0.94579,0.55011,0.12332,0.20646,6.575
2015,Argentina,1.05351,0.78723,0.44974,0.11451,0.08484,6.574
2015,Czech Republic,1.17898,0.84483,0.46364,0.10686,0.02652,6.505
2015,Uruguay,1.06166,0.8116,0.60362,0.2324,0.24558,6.485
2015,Colombia,0.91861,0.69077,0.53466,0.18401,0.0512,6.477
2015,Thailand,0.9669,0.7385,0.55664,0.5763,0.03187,6.455
2015,Saudi Arabia,1.39541,0.72025,0.31048,0.13706,0.32524,6.411
2015,Spain,1.23011,0.95562,0.45951,0.18227,0.06398,6.329
2015,Malta,1.2074,0.88721,0.60365,0.51752,0.13586,6.302
2015,Taiwan,1.29098,0.8753,0.3974,0.25376,0.08129,6.298
2015,Kuwait,1.55422,0.72492,0.55499,0.16228,0.25609,6.295
2015,Suriname,0.99534,0.6082,0.59657,0.16991,0.13633,6.269
2015,Trinidad and Tobago,1.21183,0.61483,0.55884,0.31844,0.0114,6.168
